Response ID,Your name,Name of School,"Is the school a boys' school, mixed school or girls' school?","Is the school boarding, day or both?",What is the total number of students in the school?,County where the school is located ,School postal address ,School email Address,School telephone Number,What is your primary role in the school?,What is your professional title?,Please select the categories you are interested in [Safety and security],Please select the categories you are interested in [Business/entrepreneurship development],Please select the categories you are interested in [Career development],"Please select the categories you are interested in [STEM Education (Science, Technology, Engineering & Mathematics)]",Please select the categories you are interested in [Governance],Please select the categories you are interested in [Co-curricular activities],Please select the categories you are interested in [Academics],Please select the categories you are interested in [Character and creativity],What are the measures put in place for safety and security?,What are the measures taken for preparedness for natural disasters?,"Do you have adequate fire extinguishers installed, catering for the whole school?",Do you have CCTVs cameras in place?,How often do you have fire drills? ,"Are doors and windows in the (classrooms, dormitories) outward opening?",Which security measures do you take at night?,Do you have a disaster plan policy document?,What other measures are taken to ensure safety?,Do you have fire assembly areas?,How many?,"Are you a member of any organization that is associated with safety and security e.g. Red Cross, St. John Ambulance",Which one?, Do you have trainings on first aid and disaster preparedness?,Do you encourage students to be entrepreneurs?,Please explain, Does your school have business/entrepreneurship projects?,Which particular projects?,Mention the number of student-led projects running in the school,Do you have business related clubs?,Does your school engage in business/ entrepreneurship competitions?,Please explain which competitions?,Do you have a career development programme?,Do you invite institutions of higher learning/experts to talk to your students?,Specify which ones,Do you take your students on academic tours?,For how long has the STEM education been in existence in your school?,How many awards have you won in the STEM education? (please indicate if internal or external),Specify which award e.g. Science Congress,What kind of facilities do you have for STEM education?,Has the schools received any recognition on STEM education in the last 2 years?,Please mention them,How would you rate your school in terms of technology deployment for teaching and learning?,Which type of teaching methods do you use when it comes to STEM education?,Which criteria do you use to determine success in the STEM education?,Which ICT resources are present in the school for learning purposes?,Do students choose their leaders?,Do they have fair and transparent elections? Please explain,Is the student leadership involved in solving disciplinary issues?,"Do students understand your mission, vision and strategic plan?",Do students live the values of the school?,"Do students implement the vision, mission and values of the school?",How many male teachers do you have?,How many female teachers do you have?,Does your school have a disciplinary policy document?,What measures does the school have for reporting back to parents?,What are the processes for communication between parents and school?,How does the school practise Corporate Social Responsibility?,How many hours per week are spent in co-curricular activities?,Name the facilities available for use in sports and clubs?,Which sports programmes are available in the school?,Do you offer sports scholarships?,How often do you participate in sports competitions with other schools?,"Has your school been recognized or awarded in sports, in the last 2 years?",Specify how,Who trains the students in sports?,Do you provide professional training for the trainers?,What is the number of students involved in competitive sports programmes? (please specify per sporting area),How many sports scholarships have you offered in the last 1 year?,Which sports scholarships do you offer?,Which talent programmes are available in the school?,Which facilities and equipment are available for talent development?,"What programmes do you have for identifying, nurturing and developing talent?","Has your school been recognized or awarded in talent development, in the last 2 years?",Specify how,Who trains the students in talent development?,Do you provide professional training for the trainers?,Which ones?,Do you have programmes for talent linkage with the industry?,Which ones?,Do you offer scholarships for talent development?,Which ones,Which non-examinable subjects are offered by the school?,How many subject options does your school have?,Which type of cultural exchange programmes does the school have?,How often does you school engage in symposiums?,Does your school cater for students with special needs?,How?,What is the student-teacher ratio?         ,Which programmes do you have for identifying and nurturing character?,Do you expose your students to activities of different diverse cultures?,Which ones?,"Is your school a member of programmes such as Scouting, Girl guides, Presidential Awards, or outward bound?",Please indicate them,"To what extent do you agree with the following statements in relation to your school? [Students, teachers, and leaders understand how to de?ne and analyse the di?erent elements of a problem]",To what extent do you agree with the following statements in relation to your school? [Teachers demonstrate knowledge and interest in what they teach],To what extent do you agree with the following statements in relation to your school? [The school challenges the way things are done and encourage everyone to learn and grow],To what extent do you agree with the following statements in relation to your school? [The school provides encouragement and time for everyone to re?ect on how they can improve],To what extent do you agree with the following statements in relation to your school? [Meetings allow time for honest discussion and debate]
33,Diana GPTS 001,School 001,,,,,PO BOX 001,school@email.com1,9000001,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Diana GPTS 002,School 002,,,,,PO BOX 002,school@email.com2,9000001,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Diana GPTS 003,School 003,,,,,PO BOX 003,school@email.com3,9000001,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Diana GPTS 004,School 004,Mixed School,Boarding school,1000000,XX,PO BOX 004,school@email.com4,9000001,XX,XX,No,Yes,No,No,No,Yes,No,No,,,,,,,,,,,,,,,Yes,xx,Yes,xx,xx,Yes,Yes,xx,,,,,,,,,,,,,,,,,,,,,,,,,,,XX,XX,XX,Yes,Never,Yes,XX,XX,XX,XX,XX,XX,XX,XX,XX,Yes,XX,XX,Yes,XXXX,Yes,XX,Yes,XX,,,,,,,,,,,,,,,,,
37,Diana GPTS 005,School 005,,,,,PO BOX 005,school@email.com5,9000001,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Diana GPTS 006,School 006,,,,,PO BOX 006,school@email.com6,9000001,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Diana GPTS 007,School 007,,,,,PO BOX 007,school@email.com7,9000001,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Diana GPTS 008,School 008,,,,,PO BOX 008,school@email.com8,9000001,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Diana GPTS 009,School 009,Girls' School,Boarding school,340,Nairobi,PO BOX 009,school@email.com9,9000001,Teacher,Teacher,No,No,No,No,No,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2hours,"Well established Fields, nets, all ball games, ","Football, volleyball,netball",Yes,Always,Yes,"Was awarded position two this year in the girls football in Makadara sub county,we qualified for the Regionals",Brighton Namayi,Yes,Football-30,6,Scholarship for forballers,Cultural day,"PA, band instruments, and traditional music instruments",Cultural day which is day annually,No,,James kituzi,No,,No,,No,,Computer studies,11,Inter schools debate,Termly,No,,28-1,,,,,,,,,,
43,Diana GPTS 010,School 010,Boys' School,Boarding school,62,Kisumu,PO BOX 010,school@email.com10,9000001,Director,Strategist,No,No,No,No,No,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
While its is examinable, the school offers Computer Studies but currently not presenting candidates for it","Humanities provide choices of Geography, Business Education, History and CRE

Sciences has Physics, Chemistry, Agriculture and Biology

Compulsary - Mathematics, English and Kiswahili. These  on offer and are a MUST.","For the purposes of enhancing and bench-marking our operations and in particular quality of learning/ teaching, we have scheduled visits to National and top schools like Maseno School and Chemelil Academy in the region and peers with known dependable academic culture like St. Stephen Minara Seconday School. This week-long programme often involve teachers moderation and co-teaching and testing of students as well as co-curricula activities. 

Boys participate in competitive inter-school events, organized bilateral visits and diversified   mentoring talks that recognizes and support the broad base that the students hail from.  Bristtol School is a multi-tribe centre that espouse commonality respecting and accommodating all. Besides, the foregoing, Bristtol School organizes exchange tests and mocks that are externally moderated and marked. This is complemented by external examiner moderation and teaching. The composite of these together with internal controls and peer review, has served to sharpen academics at Bristtol School.",Every term there are at least three serious competitive engagements pitting the boys with others from other schools. These are besides internal ones between the organized families or classes.,Yes,"Brsttol School has facilities able to and has accommodated and served those on wheel chair.

A supportive service culture and a non-discriminatory predisposition is in place. ",Current student- teacher ratio is about 7:1,,,,,,,,,,
